canopy ambient,shaded canopy IR temp,porometer conductance,porometer sensor temp,block,soil moisture -40cm,soil moisture -80 cm,date,wet-bulb,dry-bulb
27.00,23,253.8,32.1,pinot#1,0.151,0.096,6/23/2016,20.5,31
27.00,24,259.3,31.5,pinot#1,0.151,0.096,6/23/2016,20.5,31
27.00,23,219.5,31.0,pinot#1,0.151,0.096,6/23/2016,20.5,31
26.00,23,326.9,30.6,pinot#1,0.151,0.096,6/23/2016,20.5,31
26.00,22,370.4,30.3,pinot#1,0.151,0.096,6/23/2016,20.5,31
25.00,22,292.4,29.9,pinot#2,0.174,0.095,6/23/2016,20.5,31
24.50,23,336.0,29.8,pinot#2,0.174,0.095,6/23/2016,20.5,31
24.50,23,376.0,29.7,pinot#2,0.174,0.095,6/23/2016,20.5,31
24.75,22,293.9,29.6,pinot#2,0.174,0.095,6/23/2016,20.5,31
24.75,21,201.3,29.6,pinot#2,0.174,0.095,6/23/2016,20.5,31
26.00,22,228.3,29.7,syrah#2,0.077,0.071,6/23/2016,20.5,31
25.75,22,321.6,29.6,syrah#2,0.077,0.071,6/23/2016,20.5,31
25.75,22,285.7,29.4,syrah#2,0.077,0.071,6/23/2016,20.5,31
25.50,22,343.4,29.2,syrah#2,0.077,0.071,6/23/2016,20.5,31
25.50,22,293.4,29.1,syrah#2,0.077,0.071,6/23/2016,20.5,31
29.50,26,223.2,29.2,chard#1,0.096,0.077,6/23/2016,20.5,31
29.75,27,151.7,29.5,chard#1,0.096,0.077,6/23/2016,20.5,31
29.00,29,165.7,29.7,chard#1,0.096,0.077,6/23/2016,20.5,31
29.00,28,126.9,29.9,chard#1,0.096,0.077,6/23/2016,20.5,31
28.24,28,206.5,29.8,chard#1,0.096,0.077,6/23/2016,20.5,31
27.25,25,177.4,29.9,chard#2,0.083,0.077,6/23/2016,20.5,31
26.50,25,108.1,29.8,chard#2,0.083,0.077,6/23/2016,20.5,31
26.00,23,128.4,29.7,chard#2,0.083,0.077,6/23/2016,20.5,31
27.00,23,92.3,29.5,chard#2,0.083,0.077,6/23/2016,20.5,31
27.00,24,165.5,29.6,chard#2,0.083,0.077,6/23/2016,20.5,31
25.00,24,329.7,29.7,chard#3,0.174,0.099,6/23/2016,20.5,31
25.00,23,196.5,29.7,chard#3,0.174,0.099,6/23/2016,20.5,31
25.00,23,265.3,29.6,chard#3,0.174,0.099,6/23/2016,20.5,31
25.00,24,250.4,29.6,chard#3,0.174,0.099,6/23/2016,20.5,31
25.50,24,179.1,29.5,chard#3,0.174,0.099,6/23/2016,20.5,31
25.00,22,258.5,29.5,chard#4,0.100,0.089,6/23/2016,20.5,31
25.00,22,330.1,29.4,chard#4,0.100,0.089,6/23/2016,20.5,31
25.50,22,221.1,29.3,chard#4,0.100,0.089,6/23/2016,20.5,31
25.00,22,326.5,29.3,chard#4,0.100,0.089,6/23/2016,20.5,31
25.00,21,214.7,29.3,chard#4,0.100,0.089,6/23/2016,20.5,31